No_Pelajar,Kod_Kursus_Pelajar,Semester_Pelajar,Jantina,Kod_Negeri_Pelajar,CGPA,GPA,Has_Award,Total_Credit_Taken,Avg_Subjek_Attendance,Avg_Subjek_Marks,Total_Dropped,Total_Failed,Total_Koko,PLO_1,PLO_2,PLO_3,PLO_4,PLO_5,PLO_6,PLO_7,PLO_8,PLO_9,Source_File,Status_Pelajar
333571241528,DGA,6,L,B,3.64,0.0,False,90,91.66666666666669,85.97222222222223,0,0,0,73.73423061538462,83.82953476744187,84.91181736363636,86.12818209090909,84.28761876190477,81.7830002,87.53285757142858,79.04666633333333,86.25,JJ2025,Sederhana
333571241531,DGA,6,L,D,3.56,0.0,False,90,91.66666666666669,84.19444444444444,0,0,0,67.4526921923077,83.04604669767441,79.0954549090909,81.60818209090908,82.85761876190476,83.2559997,82.34999957142857,70.98666633333333,90.0,JJ2025,Sederhana
333571241557,ITW,6,L,S,3.15,2.85,False,94,91.97368421052632,79.23684210526316,0,0,0,67.36,78.48685691428571,76.0404347826087,77.0829994,83.354374875,82.33333333333333,63.23111088888889,74.84999957142857,68.66666666666667,JJ2025,Sederhana
333571241560,DFK,6,P,T,3.45,0.0,False,94,91.5,82.08333333333333,0,0,0,76.34272742424241,84.31405413513514,75.22736857894738,83.01705888235294,87.0311764117647,85.36866660000001,89.715,76.65000009090909,88.5,JJ2025,Sederhana
333571241612,DFK,6,L,D,3.73,0.0,False,94,91.5,84.80555555555556,0,0,0,73.74242421212122,88.62027037837838,80.33894752631579,82.92823523529412,90.33941152941176,88.17799986666667,88.0,84.26999945454546,88.25,JJ2025,Sederhana
333571241638,DGA,6,L,T,3.66,0.0,False,90,91.5,86.61111111111111,0,0,0,75.95346173076923,84.61953518604652,84.41454527272727,83.62727281818182,83.5147618095238,84.9169998,89.65000042857143,87.14333333333333,90.0,JJ2025,Sederhana
333571241641,ITW,6,L,D,3.7,3.7,False,94,91.8157894736842,86.05263157894737,0,0,0,75.28,84.5139994857143,85.42956517391305,83.6020003,90.9512500625,86.92555577777779,80.50444411111111,81.84000014285714,93.0,JJ2025,Sederhana
333571241654,ITW,6,L,D,3.61,3.65,False,94,89.47368421052632,84.60526315789474,0,0,0,74.68,82.76628588571428,84.64260895652174,84.3889999,84.9250001875,79.16666666666667,79.16555488888889,87.14285671428571,84.443334,JJ2025,Sederhana
333571241667,ITW,6,L,T,3.95,4.0,False,94,91.94736842105264,90.39473684210526,0,0,0,86.98,88.30342842857142,93.15565291304348,88.39200059999999,91.7787504375,82.03666688888889,83.66444433333334,83.78999985714286,88.0,JJ2025,Cemerlang
333571241670,ITW,6,L,D,3.8,4.0,False,94,92.10526315789474,87.23684210526316,0,0,0,76.56,84.97942831428571,86.00217365217391,89.4259995,93.2006254375,85.01777822222222,84.84555555555556,90.145715,89.5,JJ2025,Sederhana
